2016-05-22 13:05:28,338 parall_tasep.Tasep at line 100 :: DEBUG >>> Created istance of Parallel TASEP :: 50 particles, ring length 100, p=0.500, e=0.050
2016-05-22 13:05:45,200 parall_tasep.Tasep at line 100 :: DEBUG >>> Created istance of Parallel TASEP :: 50 particles, ring length 100, p=0.500, e=0.050
2016-05-22 13:07:36,749 parall_tasep.Tasep at line 100 :: DEBUG >>> Created istance of Parallel TASEP :: 50 particles, ring length 100, p=0.500, e=0.050
2016-05-22 13:08:28,884 parall_tasep.Tasep at line 100 :: DEBUG >>> Created istance of Parallel TASEP :: 50 particles, ring length 100, p=0.500, e=0.050
2016-05-22 13:10:18,269 parall_tasep.Tasep at line 100 :: DEBUG >>> Created istance of Parallel TASEP :: 50 particles, ring length 100, p=0.500, e=0.050
2016-05-22 13:10:32,971 parall_tasep.Tasep at line 100 :: DEBUG >>> Created istance of Parallel TASEP :: 50 particles, ring length 100, p=0.500, e=0.050
2016-05-22 13:11:04,313 parall_tasep.Tasep at line 100 :: DEBUG >>> Created istance of Parallel TASEP :: 50 particles, ring length 100, p=0.500, e=0.050
2016-05-22 13:11:47,023 parall_tasep.Tasep at line 100 :: DEBUG >>> Created istance of Parallel TASEP :: 50 particles, ring length 100, p=0.500, e=0.050
2016-05-22 13:13:01,695 parall_tasep.Tasep at line 100 :: DEBUG >>> Created istance of Parallel TASEP :: 50 particles, ring length 100, p=0.500, e=0.250
2016-05-22 13:14:12,986 parall_tasep.Tasep at line 100 :: DEBUG >>> Created istance of Parallel TASEP :: 50 particles, ring length 100, p=0.500, e=0.500
2016-05-22 13:14:41,816 parall_tasep.Tasep at line 100 :: DEBUG >>> Created istance of Parallel TASEP :: 50 particles, ring length 100, p=0.500, e=0.900
2016-05-22 13:16:01,930 parall_tasep.Tasep at line 100 :: DEBUG >>> Created istance of Parallel TASEP :: 50 particles, ring length 100, p=0.900, e=0.900
